DrugBankID,Type,inRepurposeDB,approved,logP calculated ALOGPS,logS calculated ALOGPS,Molecular Weight calculated ChemAxon,Monoisotopic Weight calculated ChemAxon,Polar Surface Area (PSA) calculated ChemAxon,Refractivity calculated ChemAxon,Polarizability calculated ChemAxon,Rotatable Bond Count calculated ChemAxon,H Bond Acceptor Count calculated ChemAxon,H Bond Donor Count calculated ChemAxon,pKa (strongest acidic) calculated ChemAxon,pKa (strongest basic) calculated ChemAxon,Physiological Charge calculated ChemAxon,Number of Rings calculated ChemAxon,
4915,small molecule,TRUE,Y,0.53,-3,221.2988,221.1528122,53.16,86.98,25.88,5,3,3,15.03,5.6,0,1,T
4932,small molecule,FALSE,Y,3.1,-4.7,341.444,341.1990937,58.56,100.21,39.75,11,4,2,14.09,9.63,1,2,T
4946,small molecule,FALSE,Y,3.03,-3.5,259.3434,259.1572289,41.49,76.83,29.98,6,3,2,14.09,9.67,1,2,T
4991,small molecule,FALSE,Y,-3.1,-2.3,181.2117,181.0977027,33.42,49.66,19.38,2,1,0,19.53,,1,1,T
4999,small molecule,FALSE,Y,4.76,-5.2,386.794,386.0267596,15.6,93.47,33.99,3,1,0,18.93,2.59,0,3,T
5002,small molecule,FALSE,Y,2.93,-4,383.507,383.1667477,48.3,114.09,42.78,5,5,1,15.12,7.06,1,4,T
5029,small molecule,FALSE,Y,2.04,-3,359.443,359.1303622,77.1,98.07,39.64,8,5,1,9.35,4.24,0,3,T
5035,small molecule,TRUE,Y,5.45,-6,473.583,473.166079,70,135.48,52.55,7,5,2,8.89,7.95,1,5,T
5070,small molecule,TRUE,Y,2.83,-3.8,234.198,234.0074681,48.14,44.37,18.59,2,3,1,16.44,4.57,0,2,T
5071,small molecule,FALSE,Y,3.28,-4.3,179.3018,179.1673997,26.02,54.52,21.79,1,1,1,,10.14,1,3,T
5073,small molecule,FALSE,Y,3.27,-3.4,410.4845,410.2118043,61.94,114.55,45.27,4,4,0,,8.76,1,5,T
5078,small molecule,FALSE,Y,1.67,-2.9,269.3449,269.1640456,49.74,93.13,30,5,3,1,17.24,9.56,1,3,T
5090,small molecule,FALSE,N,2.32,-4.5,314.356,314.0612796,60.44,84.08,31.74,3,3,0,14.84,-7,0,3,T
5095,small molecule,TRUE,Y,3.16,-2.9,260.3746,260.1888634,32.34,81.43,31.19,7,2,1,13.24,10.17,1,2,T
5152,small molecule,FALSE,Y,3.82,-5.3,415.5656,415.2722587,81.95,122.39,50.6,16,5,4,10.12,9.4,1,2,T
5206,small molecule,FALSE,Y,2.44,-2.1,200.0548,200.0072122,9.23,23.3,9.83,4,1,0,15.07,-4.5,0,0,T
5210,small molecule,FALSE,N,5.05,-5.5,279.848,279.1753775,3.24,83.92,32.9,5,1,0,,9.77,1,2,T
5212,small molecule,TRUE,Y,2.35,-3,474.576,474.2049242,109.13,139.44,51.18,6,8,1,7.27,5.97,0,4,T
5245,small molecule,TRUE,Y,-0.75,-1.4,283.1123,283.0010747,148.18,57.12,21.91,4,8,5,0.68,4.91,-2,1,T
5253,small molecule,FALSE,Y,0.85,-2.5,272.364,272.1194632,78.43,71.12,29.34,5,4,3,10.07,9.43,1,1,T
5291,small molecule,TRUE,Y,3.47,-4.5,493.6027,493.2590086,86.28,148.93,55.54,7,7,2,12.45,8.27,1,5,T
5358,small molecule,FALSE,Y,1.17,-3.4,295.4,295.1354476,65.2,82.08,32.31,5,3,2,11.24,9.54,1,2,T
5379,small molecule,FALSE,Y,-0.23,-2.8,375.3941,375.1594344,82.11,98.82,38.29,4,7,2,5.69,8.73,0,4,T
5381,small molecule,FALSE,Y,5.15,-5.7,351.462,351.1292996,39.19,97.88,40.31,5,2,0,,1.23,0,3,T
5391,small molecule,FALSE,Y,2.16,-3.8,300.74,300.0665554,52.9,81.01,30.32,1,3,1,10.68,-1.4,0,3,T
5394,small molecule,TRUE,Y,-1,-1.6,194.1508,194.0552235,105.94,47.86,16.88,1,5,1,10.51,-3.6,0,2,T
5401,small molecule,FALSE,Y,1.12,-2.4,387.4329,387.1906543,103.04,105.18,41.26,4,8,1,19.93,7.24,1,4,T
5403,small molecule,FALSE,Y,0.55,-1.6,225.2842,225.1364935,72.72,63.04,24.78,4,4,4,8.86,9.76,1,1,T
5426,small molecule,TRUE,N,0.42,-2,258.2295,258.0640568,83.55,64.32,24.42,1,4,1,11.59,-6.4,0,3,T
5452,small molecule,FALSE,Y,5.93,-5.6,370.575,370.1537402,6.48,113.52,43.26,4,2,0,,8.93,1,4,T
5453,small molecule,TRUE,Y,0.17,-1.3,189.218,189.0489546,9.03,50.72,18.3,3,3,0,,-0.3,0,3,T
5468,small molecule,FALSE,Y,3.22,-3.9,260.308,260.0507149,54.37,69.19,26.78,4,3,1,4.03,-7.8,-1,2,T
5479,small molecule,FALSE,Y,-0.41,-1.9,247.272,247.0626766,97.78,57.66,23.27,5,5,0,,3.1,0,1,T
5487,small molecule,FALSE,Y,1.6,-3.3,253.711,253.0188937,62.2,64.77,23.97,1,5,2,,7.49,1,3,T
5526,small molecule,TRUE,Y,-1.4,-0.94,157.2102,157.1102787,63.32,41.9,17.28,2,3,2,4.56,10.22,0,1,T
5533,small molecule,FALSE,Y,2.68,-3.1,371.864,371.1512881,42.39,105.88,40.12,5,4,0,,7.09,1,4,T
5556,small molecule,FALSE,Y,2.94,-4.3,343.21,342.0439018,43.07,103.68,34.19,1,3,0,18.08,4.32,0,4,T
5578,small molecule,FALSE,Y,1.26,-2.7,290.3177,290.1378905,105.51,81.51,29.71,5,7,2,17.33,7.16,1,2,T
5591,small molecule,FALSE,N,4.16,-5.6,441.54,441.1609937,84.86,120.99,47.08,5,5,2,6.61,-4.6,-1,4,T
5596,small molecule,FALSE,Y,2.86,-6.8,392.5106,392.2225688,46.53,124.04,43.18,5,2,1,11.05,-4.5,1,5,T
5656,small molecule,FALSE,Y,2.69,-3.1,277.4018,277.2041791,32.7,83.02,32.33,5,3,1,14.42,8.91,1,2,T
5665,small molecule,FALSE,Y,-2.6,-0.13,129.157,129.0789786,63.32,34.29,13.64,4,3,2,4.61,9.91,0,0,T
5717,small molecule,FALSE,Y,4.84,-5.8,575.675,575.2090065,115.73,158.58,62.06,8,6,2,4.29,-1.1,-1,5,T
5719,small molecule,FALSE,Y,2,-3.9,305.3339,305.1276601,74.29,97.24,32.09,3,4,0,,0.3,0,3,T
5732,small molecule,FALSE,Y,3.15,-4,307.3895,307.1684623,37.61,93.58,35.06,3,2,0,,5.65,0,3,T
5734,small molecule,FALSE,Y,0.67,-2,212.226,212.0255628,86.19,50.3,19.48,2,3,1,9.84,-1.8,0,2,T
5743,small molecule,TRUE,Y,1.93,-3.9,392.4611,392.1999022,94.83,102.49,40.83,2,5,3,12.42,-3.3,0,4,T
5746,small molecule,TRUE,Y,-0.55,-1.5,334.3272,334.1277197,146.89,83.27,32.77,4,7,3,-0.3,6.8,0,4,T
5754,small molecule,FALSE,N,1.79,-3.3,362.4599,362.2093241,94.83,97.4,39.55,2,5,3,12.58,-2.8,0,4,T
5757,small molecule,TRUE,Y,3.57,-4.1,272.382,272.17763,40.46,79.9,32.13,0,2,2,10.33,-0.88,0,4,T
5775,small molecule,TRUE,Y,2.91,-3,281.3523,281.1528122,47.86,84.25,31.37,4,4,2,9.78,9.02,1,3,T
5780,small molecule,FALSE,N,-2.7,0.1,182.1718,182.0790382,121.38,38.4,17.12,5,6,6,12.59,-3,0,0,T
5852,small molecule,TRUE,Y,-1.7,-1.5,149.211,149.0510493,63.32,37.23,14.88,2,3,3,2.56,9.09,0,0,T
5920,small molecule,FALSE,Y,0.82,-4.5,650.9735,650.7900381,92.78,113.43,43.92,5,4,3,0.3,9.48,0,2,T
5961,small molecule,FALSE,N,-3.3,-0.17,146.1445,146.0691422,106.41,33.11,13.87,4,4,3,2.15,9.31,0,0,T
5994,small molecule,TRUE,Y,3.58,-4.8,314.4617,314.2245802,34.14,92.71,37.15,1,2,0,18.92,-4.8,0,4,T
6005,small molecule,TRUE,Y,2.51,-2.7,267.3224,267.1259288,43.7,79.99,29.7,0,3,2,6.58,13.25,0,4,T
6013,small molecule,FALSE,Y,,,,,,,,,,,,,,,T
6018,small molecule,TRUE,Y,3.23,-2.9,317.4226,317.1990937,38.77,91.31,36.59,4,4,0,18.24,7.41,1,3,T
6058,small molecule,TRUE,Y,0.01,-0.52,77.149,77.02991992,26.02,22.39,8.65,1,1,2,9.42,10.4,1,0,T
6215,small molecule,FALSE,Y,2.47,-3.9,452.4882,452.2010451,93.06,111.41,44.97,2,6,2,13.35,-3.3,0,5,T
6251,small molecule,TRUE,Y,-2.7,0.1,182.1718,182.0790382,121.38,38.4,16.82,5,6,6,12.59,-3,0,0,T
6256,small molecule,FALSE,Y,-0.45,-1.6,296.1999,296.0620061,99.1,56.34,23.07,3,5,3,7.6,-3,0,2,T
6279,small molecule,TRUE,Y,3.42,-5.2,386.5244,386.2457096,60.44,107.81,44.05,3,3,0,17.82,-4.9,0,4,T
6322,small molecule,FALSE,Y,-3.5,-1.9,174.201,174.1116757,125.22,53.92,17.8,5,6,5,2.41,12.41,1,0,T
8226,small molecule,FALSE,Y,1.74,-3.2,339.4314,339.1946771,68.36,99.58,38.73,4,3,3,15,7.93,1,4,T
9433,small molecule,FALSE,Y,,,420.4264,420.1981993,69.3,44.93,16.86,1,3,1,7.82,-0.78,0,4,T
9444,small molecule,TRUE,Y,-2.5,-1.3,244.2047,244.0807695,140.97,52.19,21.5,2,8,4,12.55,-0.38,0,2,T
9642,small molecule,FALSE,Y,2.93,-4.5,494.5249,494.2116098,99.13,120.56,49.12,4,6,1,13.55,-3.4,0,5,T
9651,small molecule,TRUE,Y,1.39,-2.2,287.3535,287.1521435,41.93,82.3,31.4,1,4,1,14.81,8.91,1,4,T
9878,small molecule,FALSE,Y,2.34,-4.4,376.4617,376.2049876,74.6,100.87,40.05,1,4,2,12.65,-3.4,0,4,T
9880,small molecule,FALSE,Y,3.81,-5.4,416.938,416.1754371,60.44,111.81,44.65,3,3,0,17.83,-5.6,0,5,T
10531,small molecule,FALSE,Y,3.04,-3.4,583.6774,583.2794693,118.21,159.39,63.3,4,6,3,9.71,8.39,1,8,T
10917,small molecule,TRUE,Y,-2.9,-1.6,161.1989,161.1051934,60.36,63.49,16.93,4,3,1,4.2,-3.6,0,0,T
12035,small molecule,TRUE,Y,-0.03,-1.5,163.195,163.0303138,66.4,37.67,15.34,3,3,3,3.82,-1.5,-1,0,T
12620,small molecule,FALSE,Y,9.31,-7.2,326.6,326.3548661,20.23,104.95,47.27,20,1,1,16.84,-2,0,0,T
13109,small molecule,FALSE,Y,3.25,-4.7,312.4458,312.2089301,37.3,92.03,36.73,1,2,1,17.91,-1.5,0,4,T
14969,small molecule,TRUE,Y,1.11,-3.8,1449.254,1447.4302,530.49,346.61,138.7,13,24,19,2.99,9.93,1,10,T
15209,small molecule,FALSE,Y,2.02,-3.9,436.5136,436.226117,93.06,110.79,45.74,2,6,2,13.73,-2.8,0,5,T
16078,small molecule,FALSE,Y,7.29,-5.1,314.4617,314.2245802,29.46,96.73,38.96,4,2,1,9.34,-4.9,0,3,T
16362,small molecule,FALSE,Y,6.36,-5.4,461.5462,461.227869,35.58,132.21,50.04,7,2,1,12.9,8.38,1,5,T
16850,small molecule,FALSE,Y,2.64,-4.1,332.3063,332.0684735,75.99,91.22,33.14,0,3,2,8.72,-6,0,5,T
18283,small molecule,FALSE,Y,-0.73,-0.74,224.2133,224.0797069,78.87,55.32,21.33,2,4,2,9.95,-3,0,2,T
18381,small molecule,FALSE,Y,3.19,-4.2,470.326,469.0265968,112.74,111.44,42.86,3,5,2,3.75,-0.71,-1,4,T
20279,small molecule,TRUE,Y,-0.12,-1.6,285.687,285.062867,119.31,67.18,25.93,2,7,3,13.89,1.33,0,3,T
21319,small molecule,FALSE,Y,2.69,-3.9,453.872,453.0561473,112.74,106.85,41.69,3,5,2,3.75,-0.93,-1,4,T
25419,small molecule,FALSE,Y,0.16,-1.5,244.892,243.8860163,115.06,38.21,15.3,2,6,4,0.62,,-2,0,T
27661,small molecule,FALSE,Y,-0.74,-0.53,191.1388,191.042987,93.74,38.08,15.85,2,6,1,13.34,-3.5,0,2,T
28417,small molecule,FALSE,Y,3.62,-4.3,337.4553,337.2041791,46.26,98.54,38.56,0,2,1,17.59,0.25,0,5,T
29029,small molecule,TRUE,Y,1.76,-2.1,424.983,424.1798706,102.26,105.72,44.49,7,6,4,12.16,7.55,1,2,T
29327,small molecule,FALSE,Y,-1.7,-0.9,265.2206,265.0909998,151.92,55.96,23.74,3,7,5,11.43,-3,0,1,T
30323,small molecule,TRUE,Y,1.68,-2.9,527.5199,527.1791462,185.84,132.89,52.94,4,11,5,9.53,8.94,1,5,T
30751,small molecule,TRUE,Y,-2.5,-2.1,365.2117,365.0536625,186.07,74.93,28.88,4,10,5,1.34,0.6,-2,3,T
31307,small molecule,FALSE,Y,0.84,-2.7,394.4339,394.1791668,115.06,99.38,39.79,2,6,4,11.75,-3.3,0,4,T
31401,small molecule,TRUE,Y,3.01,-4.3,392.572,392.2926598,77.76,109.27,46.33,4,4,3,4.6,-0.54,-1,4,T
31703,small molecule,TRUE,Y,1.41,-2.7,543.5193,543.1740608,206.07,134.59,53.87,5,12,6,9.53,8.94,1,5,T
32798,small molecule,FALSE,Y,3.49,-5,466.97,466.19223,80.67,119.32,48.28,5,4,1,13.63,-3.4,0,4,T
33255,small molecule,FALSE,Y,-0.4,-3,454.507,454.030013,156.09,119.86,41.44,7,9,2,3.03,0.26,-1,4,T
33613,small molecule,FALSE,Y,0.75,-2.6,365.404,365.1045414,132.96,89.5,35.53,4,6,4,3.23,7.43,0,3,T
33741,small molecule,TRUE,Y,2.71,-2.5,263.3752,263.188529,32.7,78.27,30.45,4,3,1,13.8,9.23,1,2,T
34312,small molecule,FALSE,Y,1.76,-3.2,252.268,252.0898776,63.4,71.56,25.72,0,2,1,12.92,-4.3,0,3,T
35370,small molecule,TRUE,Y,-0.1,-1.2,267.2413,267.0967539,108.3,61.7,24.93,3,6,2,9.96,-3,0,2,T
36294,small molecule,TRUE,Y,-3,-0.94,467.5145,467.2591278,268.17,106.69,47.18,6,14,10,12.54,9.83,5,3,T
36462,small molecule,FALSE,Y,0.73,-2.8,588.5566,588.1842911,160.83,139.02,58.77,5,12,3,9.33,-3.7,0,7,T
36523,small molecule,FALSE,Y,-0.09,-4.3,1182.2901,1181.573026,474.63,302.51,121.19,31,17,16,9.47,11.16,2,6,T
37464,small molecule,FALSE,Y,3.84,-4.1,291.4284,291.2198292,41.49,86.6,34.58,7,3,2,14.09,9.76,1,2,T
37542,small molecule,TRUE,Y,-1.9,-0.87,244.2047,244.0807695,143.72,64.57,22.18,3,7,4,11.88,-1.2,0,2,T
37720,small molecule,TRUE,Y,-2.5,-2.2,602.497,601.9223404,322.55,96.38,46.17,10,17,6,-2.9,-3.6,-4,2,T
38904,small molecule,FALSE,Y,,,371.254,371.0444813,52.6,29.01,14.06,0,2,0,,-6.6,0,2,T
39042,small molecule,FALSE,Y,3.97,-5.4,361.819,361.1080858,75.63,95.96,37.53,7,4,2,3.83,-0.84,-1,2,T
39147,small molecule,FALSE,Y,1.23,-2.1,309.4006,309.1940084,81.95,85.53,34.63,6,5,4,13.59,9.76,1,2,T
39186,small molecule,FALSE,Y,3.09,-4.4,414.518,414.161328,59.08,114.37,43.65,7,4,0,12.86,8.18,1,3,T
41684,small molecule,TRUE,Y,2.14,-4.6,307.282,307.0262911,114.11,73.89,27.54,5,5,1,8.3,-4.2,0,2,T
41693,small molecule,FALSE,Y,3.4,-4.5,386.551,386.2027989,32.78,111.42,43.85,8,3,0,,8.86,1,3,T
41781,small molecule,FALSE,Y,1.76,-3.8,348.42,348.1256112,100.19,91.89,36.15,4,5,3,5.92,4.2,-1,2,T
41867,small molecule,FALSE,Y,1.41,-2.7,543.5193,543.1740608,206.07,134.59,53.88,5,12,6,9.53,8.94,1,5,T
42113,small molecule,FALSE,Y,2.19,-1.7,168.0378,168.0009839,9.23,18.12,7.89,3,1,0,18.87,-4.8,0,0,T
42890,small molecule,TRUE,Y,1.69,-2.8,497.4939,497.1685815,176.61,126.43,50.33,3,10,5,9.55,8.95,1,5,T
43672,small molecule,FALSE,Y,0.67,-3.6,517.555,517.1631189,156.43,126.3,51.77,6,7,3,3.49,-4.3,-1,4,T
43815,small molecule,FALSE,Y,3.1,-4.6,329.3654,329.1427217,39.72,88.02,34.48,4,4,1,,9.77,1,4,T
44093,small molecule,FALSE,Y,1.02,-1.7,217.285,217.077264,57.61,54.63,21.72,3,3,2,4.02,-1.2,-1,1,T
47320,small molecule,FALSE,Y,3.41,-7.6,929.145,928.5085258,126.44,280.68,104.67,26,10,0,19.02,-4.1,2,6,T
47811,small molecule,FALSE,N,4.17,-5.7,314.488,314.1816695,19.03,97.02,38.4,4,1,1,17.35,9.49,1,4,T
50294,small molecule,FALSE,Y,2.18,-3.9,371.3408,371.1005019,121.21,98.09,36.95,5,8,2,2.28,-4.2,-2,3,T
50599,small molecule,FALSE,Y,-0.99,-1.6,236.2273,236.0909403,88.74,58.59,22.9,2,6,2,6.94,2.75,-1,3,T
51263,small molecule,TRUE,Y,2.2,-3.2,416.5172,416.2535889,81.05,118.59,45.57,9,6,0,,7.5,1,3,T
51634,small molecule,TRUE,Y,-1.1,0.18,219.278,219.1470582,84.16,55.74,23.99,4,5,4,12.9,8.49,1,1,T
53232,small molecule,FALSE,Y,4.11,-4.2,404.5396,404.2562743,72.83,113.18,46.11,7,3,1,14.91,-2.8,0,3,T
54454,small molecule,FALSE,Y,4.51,-4.5,418.5662,418.2719243,72.83,117.68,47.85,7,3,1,14.91,-2.8,0,3,T
54687,small molecule,FALSE,Y,2.23,-3.2,424.5277,424.2461035,124.29,113.6,46.56,11,6,4,4.21,-2.7,-1,2,T
54746,small molecule,FALSE,Y,2.97,-3.9,451.6043,451.2947255,71.68,133.5,52.5,8,4,2,15.25,9.32,2,4,T
55245,small molecule,TRUE,Y,5.33,-5.1,429.5937,429.2667794,40.54,132.58,50.71,3,3,1,12.87,4.89,0,5,T
55283,small molecule,TRUE,Y,5.48,-4.9,705.633,704.2393072,100.79,200.4,74.7,11,9,0,,3.92,0,7,T
55891,small molecule,FALSE,Y,4.71,-5.8,563.6625,563.3011893,110.21,149.12,61.17,15,5,1,3.87,-4.4,-1,3,T
56959,small molecule,FALSE,Y,2.08,-3.6,427.5365,427.2471066,74.27,123.46,47.22,9,6,2,13.6,7.17,1,3,T
57363,small molecule,TRUE,Y,3.53,-5.3,372.5441,372.2776784,58.2,108.2,43.93,2,2,2,14.53,2.22,0,4,T
57469,small molecule,FALSE,Y,2.83,-3,240.3036,240.1374965,56.73,72.54,26.67,2,3,1,,5.4,0,3,T
59768,small molecule,FALSE,Y,2.02,-3.3,295.374,295.1783583,67.79,81.05,33.68,10,4,2,14.09,9.67,1,1,T
60164,small molecule,FALSE,Y,6.06,-8,412.5201,412.2038448,46.53,122.07,47.65,4,3,1,3.99,-4.8,-1,6,T
60198,small molecule,FALSE,Y,2.67,-4.6,296.4034,296.17763,34.14,89.03,33.71,0,2,0,19.96,-5,0,4,T
60464,small molecule,FALSE,Y,-0.07,-3.5,392.3998,392.165997,98.9,101.69,38.98,3,7,3,5.75,8.79,0,4,T
60490,small molecule,FALSE,N,2.01,-3.6,236.29,236.0619483,66.56,61.96,24.14,2,2,2,8.84,-5.5,0,2,T
60606,small molecule,FALSE,Y,3.84,-4.4,321.822,321.0590272,29.54,84.93,33.19,4,2,0,,5.14,0,3,T
60613,small molecule,FALSE,Y,-2.1,-1.4,279.187,279.0620217,145.68,60.43,24.44,6,8,4,1.19,2.15,-1,1,T
60648,small molecule,FALSE,Y,4.98,-4.2,375.548,375.1326704,40.54,115.32,41.7,6,3,1,4.14,9.26,0,3,T
60726,small molecule,FALSE,Y,3,-4.4,334.165,333.0000559,80.39,80.26,29.93,4,4,2,3.81,1.59,-1,2,T
60795,small molecule,TRUE,Y,5.21,-4.8,448.385,447.1480325,44.81,124.34,49.23,7,4,1,13.51,7.46,1,4,T
60825,small molecule,FALSE,Y,-1.3,-1.9,229.256,229.0521119,88.15,55.16,21.7,2,5,2,14.29,-0.16,0,2,T
60843,small molecule,TRUE,Y,0.11,-4,427.4106,427.1491834,186.97,109.45,43.04,9,9,6,3.34,0.96,-2,3,T
60846,small molecule,FALSE,Y,3.68,-4.3,435.5188,435.2270398,112.07,134.77,47.27,10,6,2,4.37,-0.11,-1,3,T
60852,small molecule,FALSE,Y,0.26,-1.4,319.2289,319.0949751,138.53,71.16,29.51,9,8,5,0.66,9.93,-1,0,T
60855,small molecule,FALSE,Y,-2.3,-1.7,332.3098,332.133199,200.72,76.19,31.24,6,10,7,3.25,11.93,0,1,T
60857,small molecule,FALSE,Y,2.25,-3.2,287.3568,287.1633769,57.36,82.44,31.65,5,2,2,13,9.55,1,3,T
60860,small molecule,FALSE,Y,1.53,-3.5,275.0896,274.9919408,64.4,58.32,21.93,2,3,2,,11.27,1,1,T
60871,small molecule,FALSE,Y,1.49,-2.9,501.4705,501.1988495,166.98,119.99,49,15,8,1,18.59,5.13,0,2,T
60877,small molecule,FALSE,Y,-0.8,-2.1,247.247,247.0426901,88.15,55.37,21.79,2,5,2,14.29,-3.1,0,2,T
60953,small molecule,FALSE,Y,1.17,-3.2,359.3501,359.1492637,120.69,82.75,35.81,7,6,3,8.23,-3.6,0,2,T
60961,small molecule,TRUE,Y,-1.2,-1.3,267.2413,267.0967539,139.54,63.2,25.27,2,8,4,12.45,4.99,0,3,T
62886,small molecule,FALSE,Y,3.34,-7.5,1243.479,1242.500405,126.44,280.68,105.55,28,10,0,19.02,-4.1,2,8,T
62959,small molecule,FALSE,N,0.86,-3.8,416.3533,416.109625,99.76,101.04,38.34,3,7,2,5.41,9.44,0,5,T
64147,small molecule,FALSE,Y,-0.81,-1.9,354.3617,354.1651678,167.08,86.6,34.88,9,9,4,8.1,7.36,1,2,T
65016,small molecule,FALSE,Y,1.85,-4,505.627,505.2246566,131.19,134.08,53.6,11,6,3,13.61,2.39,0,3,T
65028,small molecule,FALSE,Y,1.3,-2.7,312.4045,312.2049074,90.65,84.2,34.65,8,4,2,14.03,9.31,1,1,T
65856,small molecule,FALSE,Y,3.06,-4.2,313.3908,313.1677936,39.72,89.48,34.17,6,4,1,,7.91,1,3,T
65863,small molecule,FALSE,Y,5.74,-4.8,437.77,435.9970669,27.05,111.6,42.93,6,2,0,,6.77,0,4,T
65866,small molecule,FALSE,Y,6.42,-6.6,611.7272,611.2995361,113.69,177.85,65.78,14,6,1,,9.36,1,4,T
65981,small molecule,FALSE,Y,5.05,-5.2,452.5857,452.2675077,78.87,131.83,51.49,10,5,2,3.68,4.82,-1,3,T
65999,small molecule,FALSE,Y,6.66,-5.2,514.6169,514.2368762,72.94,164.49,58.61,7,4,1,3.65,6.13,-1,6,T
68740,small molecule,FALSE,Y,-0.93,-1.9,272.0896,271.9963237,153.11,52.16,20.1,4,8,5,0.66,6.67,-2,1,T
68844,small molecule,FALSE,Y,-0.65,-2.7,383.507,383.0643329,118.8,87.2,37.93,7,6,2,8.19,6.78,0,2,T
71158,small molecule,FALSE,Y,-1.8,-0.98,181.21,181.0408785,83.47,38.91,17.17,4,4,2,-1.1,-0.47,-1,0,T
71301,small molecule,FALSE,Y,2.44,-4,405.435,405.1751647,70.95,103.32,41.98,6,5,3,13.52,8.9,1,4,T
71329,small molecule,FALSE,Y,2.17,-4.3,441.565,441.1392124,104.81,113.27,46.03,9,6,2,10.15,8.99,1,2,T
71360,small molecule,FALSE,Y,4.26,-4.2,426.4806,426.1954856,64.8,116.65,46.51,8,5,0,16.14,7.91,1,4,T
71384,small molecule,FALSE,N,-1.1,-1.4,268.2691,268.117155,98.82,64.25,26.12,3,6,2,11.2,3.6,0,2,T
71616,small molecule,FALSE,Y,1.65,-3.5,349.3105,349.1150447,76.72,95.28,30.54,5,5,1,12.71,2.27,0,3,T
72081,small molecule,FALSE,Y,-1.6,-3.9,1227.372,1226.496097,512.85,305.18,123.88,25,17,16,9.43,10.26,2,4,T
74989,small molecule,TRUE,Y,4.74,-5.7,366.837,366.1022722,54.37,103.11,39.55,2,3,1,8.23,-4.1,0,4,T
77992,small molecule,FALSE,Y,1.2,-3.3,243.3043,243.1371622,70.91,71.84,27.55,2,2,3,14.54,10.42,1,3,T
77993,small molecule,FALSE,Y,3.84,-5.5,382.519,382.1714988,53.17,110.94,42.99,6,3,1,17.11,8.37,1,4,T
82146,small molecule,FALSE,Y,6.86,-6.4,348.4779,348.2089301,37.3,117.12,40.89,3,2,1,4.07,,-1,3,T
82148,small molecule,FALSE,Y,2.83,-4.5,243.301,243.1259288,38.33,71.64,27.18,4,2,1,15.96,-0.94,0,2,T
82153,small molecule,FALSE,Y,2.2,-4.1,434.4977,434.2104669,93.06,111.89,44.88,2,6,2,13.73,-2.9,0,5,T
84029,small molecule,FALSE,Y,3.18,-3.5,747.9534,747.4768913,182.91,190.79,82.03,8,13,4,12.46,8.38,1,3,T
92253,small molecule,FALSE,Y,3.31,-3.5,288.4277,288.2201635,32.34,90.19,34.45,5,2,1,13.62,8,1,2,T
104758,small molecule,FALSE,Y,1.65,-4.4,458.488,458.1260051,148.4,117.39,45.55,9,9,4,3.72,-0.46,-2,3,T
104865,small molecule,TRUE,Y,4.18,-4.8,551.614,551.1838544,145.65,166.66,57.89,10,9,2,5.8,-0.43,-1,4,T
107807,small molecule,FALSE,Y,0.56,-2.5,368.4678,368.2311221,95.94,95.69,40,9,5,2,3.79,5.48,-1,2,T
108150,small molecule,FALSE,Y,2.04,-3.4,761.837,761.2618299,168.72,196.92,77.72,4,12,4,9.27,7.66,1,9,T
110634,small molecule,FALSE,Y,2.18,-3.2,488.603,488.2205742,109.13,142.71,53.22,7,8,1,8.01,6.21,0,4,T
110635,small molecule,TRUE,Y,2.36,-3.2,389.404,389.1375561,74.87,104.08,40.92,1,4,1,15.17,-4.2,0,6,T
115237,small molecule,FALSE,Y,2.3,-3.2,426.4839,426.206719,82.17,116.04,45.95,4,5,1,13.74,8.76,1,5,T
115355,small molecule,TRUE,Y,2.06,-4.6,329.2281,329.0511071,97.03,72.35,26.74,4,5,0,2.71,-7.3,-1,2,T
